Kecamatan,,,
,Jumlah Penduduk Berdasarkan Jenis Kelamin dan Kecamatan (Jiwa),,
,Laki-laki,Perempuan,Laki-laki dan Perempuan
,2023,2023,2023
Teluk Betung Barat,19806,18721,38527
Teluk Betung Timur,25730,24196,49926
Teluk Betung Selatan,19903,19456,39359
Bumi Waras,29896,28273,58169
Panjang,38173,36685,74858
Tanjung Karang Timur,19443,19099,38542
Kedamaian,26962,26495,53457
Teluk Betung Utara,25503,25084,50587
Tanjung Karang Pusat,25574,24752,50326
Enggal,12752,13000,25752
Tanjung Karang Barat,31888,31306,63194
Kemiling,43551,42749,86300
Langkapura,21902,21470,43372
Kedaton,26313,26075,52388
Rajabasa,28379,27579,55958
Tanjung Senang,31314,31088,62402
Labuhan Ratu,24197,24011,48208
Sukarame,33928,33210,67138
Sukabumi,37183,35995,73178
Way Halim,34384,34084,68468
Kota Bandar Lampung,556781,543328,1100109
